title;authors;status;type;created;keywords;link
"Потенциометрическое определение серной и фосфорной кислот: метод. руководство к лаб. раб. по курсу ""Физико-химические методы анализа"" для студ. химико-технологич., металлургич. ф-тов и ф-та технологии силикатов";0;Авторская редакция;Печ.изд.;01.01.1980;;https://study.urfu.ru/Aid/ViewMeta/2928
Исследование силовых и кинематических характеристик многоместного фрезерного приспособления;0;Авторская редакция;Печ.изд.;01.01.1988;"фрезерные станки;фрезерные приспособления;многоместные фрезерные приспособления;методические пособия;методические указания;лабораторные работы;УПИ издания";https://study.urfu.ru/Aid/ViewMeta/2929
Программа с модульной структурой;0;Авторская редакция;Печ.изд.;01.01.1985;"программирование;программа с модульной структурой;математическое программирование;методические пособия;методические указания;лабораторные работы;УПИ издания";https://study.urfu.ru/Aid/ViewMeta/2930
Конструкция прессов для полусухого прессования огнеупорных и керамических изделий: метод. указ. к выполн. курсового и дипломного проекта;0;Авторская редакция;Печ.изд.;01.01.1990;;https://study.urfu.ru/Aid/ViewMeta/2931
Программирование на языке Паскаль в примерах и задачах;0;Авторская редакция;Печ.изд.;01.01.2005;"учебники;языки программирования;вычислительная техника;программирование;рабочие тетради;УГТУ издания;задачи;Pascal;Паскаль";https://study.urfu.ru/Aid/ViewMeta/2932
Обработка результатов измерений;0;Авторская редакция;Печ.изд.;01.01.2004;"метрология;измерения;измерительные приборы;прямые измерения;косвенные измерения;совместные измерения;совокупные измерения;методические пособия;методические указания;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2933
Вычисления в Excel;0;Авторская редакция;Печ.изд.;01.01.2002;"вычислительная техника;обработка информации;методические пособия;электронные таблицы;Excel;табличные данные";https://study.urfu.ru/Aid/ViewMeta/2934
Правоведение;0;Авторская редакция;Печ.изд.;01.01.2004;"государство;право;методические пособия;правоведение;правоотношение;правотворчество;правонарушение;правовая норма";https://study.urfu.ru/Aid/ViewMeta/2935
Организация производства на предприятиях отрасли;0;Авторская редакция;Печ.изд.;01.01.2002;"организация производства;методические указания;методические пособия;металлургические предприятия;УГТУ издания;курсовое проектирование;сбор данных;металлургия";https://study.urfu.ru/Aid/ViewMeta/2936
Программирование на языке Си в инструментальной среде Builder;0;Авторская редакция;Печ.изд.;01.01.2004;"вычислительная техника;методические пособия;языки программирования;C;Builder;Си;УГТУ издания;разработка приложений;среды программирования;курсовые работы";https://study.urfu.ru/Aid/ViewMeta/2937
Программа с простой структурой;0;Авторская редакция;Печ.изд.;01.01.1985;"УПИ издания;методические указания;лабораторные работы;программа с простой структурой;программирование;автоматизированные системы управления;АСУ";https://study.urfu.ru/Aid/ViewMeta/2938
